CustomerID,FirstName,LastName,Gender,DateOfBirth,PhoneNumber,Email,RegionID,SubscriptionID,JoinDate,CustomerStatus
CUS00001,Janet,Hill,Female,2/6/1978,08172119377,janet.hill.cus00001@pulseconnect.com,1,3,2/2/2024,Active
CUS00002,Victoria,Olawale,Female,10/22/1963,08160740367,victoria.olawale.cus00002@pulseconnect.com,6,1,10/15/2021,Active
CUS00003,Gloria,Mohammed,Female,2/3/1999,09082974099,gloria.mohammed.cus00003@pulseconnect.com,5,3,9/11/2024,Active
CUS00004,Faith,Okeke,Female,1/25/1991,08012108859,faith.okeke.cus00004@pulseconnect.com,3,1,1/25/2021,Active
CUS00005,James,King,Male,8/17/2007,07012438896,james.king.cus00005@pulseconnect.com,6,5,2/4/2021,Active
CUS00006,Moses,Afolabi,Male,10/27/2006,08169985977,moses.afolabi.cus00006@pulseconnect.com,1,2,7/5/2023,Active
CUS00007,Joseph,Adewale,Male,2/4/1993,08025686155,joseph.adewale.cus00007@pulseconnect.com,6,1,3/22/2022,Active
CUS00008,Gloria,Akinola,Female,2/26/1965,09114330997,gloria.akinola.cus00008@pulseconnect.com,4,4,12/17/2025,Active
CUS00009,Mark,Yusuf,Male,4/13/2005,09191273953,mark.yusuf.cus00009@pulseconnect.com,4,1,2/19/2023,Active
CUS00010,James,Eze,Male,11/16/1966,08093538541,james.eze.cus00010@pulseconnect.com,2,2,8/28/2025,Active
CUS00011,Paul,Hall,Male,7/20/1968,07069996378,paul.hall.cus00011@pulseconnect.com,1,4,7/15/2022,Active
CUS00012,Richard,Green,Male,9/10/1964,07048335782,richard.green.cus00012@pulseconnect.com,1,3,11/20/2024,Active
CUS00013,Timothy,Bello,Male,1/6/1985,09059270848,timothy.bello.cus00013@pulseconnect.com,4,4,6/18/2023,Active
CUS00014,Gloria,Bello,Female,6/28/1989,09131828743,gloria.bello.cus00014@pulseconnect.com,6,1,5/4/2021,Active
CUS00015,Bright,Ogunleye,Male,2/10/1979,08040929733,bright.ogunleye.cus00015@pulseconnect.com,6,1,3/14/2025,Active
CUS00016,Timothy,Yusuf,Male,5/7/1981,07062826904,timothy.yusuf.cus00016@pulseconnect.com,4,5,12/15/2024,Active
CUS00017,John,Akinyemi,Male,9/25/1989,09140413435,john.akinyemi.cus00017@pulseconnect.com,3,1,8/16/2025,Active
CUS00018,Timothy,Ogunleye,Male,3/3/1967,07067045611,timothy.ogunleye.cus00018@pulseconnect.com,2,2,8/3/2025,Active
CUS00019,Deborah,Obi,Female,1/18/1957,08036650670,deborah.obi.cus00019@pulseconnect.com,6,2,9/28/2025,Active
CUS00020,Angela,Cooper,Female,5/13/1957,09066458944,angela.cooper.cus00020@pulseconnect.com,2,4,1/7/2024,Active
CUS00021,Grace,Lewis,Female,6/9/1986,07087552042,grace.lewis.cus00021@pulseconnect.com,4,4,11/15/2025,Active
CUS00022,Matthew,Smith,Male,8/22/1973,07055243205,matthew.smith.cus00022@pulseconnect.com,1,2,4/11/2024,Active
CUS00023,Collins,Akinola,Male,2/20/1961,07071697134,collins.akinola.cus00023@pulseconnect.com,3,3,7/21/2021,Active
CUS00024,Samuel,Green,Male,11/27/1997,08122835265,samuel.green.cus00024@pulseconnect.com,1,3,5/13/2021,Active
CUS00025,Grace,Okeke,Female,4/14/1976,08036558611,grace.okeke.cus00025@pulseconnect.com,4,3,1/10/2021,Active
CUS00026,Peace,Nwachukwu,Female,10/26/1972,09065065809,peace.nwachukwu.cus00026@pulseconnect.com,5,3,10/12/2025,Active
CUS00027,Emmanuel,Olawale,Male,5/21/1982,08026007365,emmanuel.olawale.cus00027@pulseconnect.com,2,2,6/22/2022,Active
CUS00028,Andrew,Oladipo,Male,10/25/2000,08162100019,andrew.oladipo.cus00028@pulseconnect.com,6,1,11/16/2023,Active
CUS00029,Andrew,Okeke,Male,7/13/1974,08137994256,andrew.okeke.cus00029@pulseconnect.com,2,2,11/11/2024,Active
CUS00030,Victoria,Baker,Female,4/22/2000,07030602222,victoria.baker.cus00030@pulseconnect.com,5,2,2/22/2023,Active
CUS00031,Mercy,Okeke,Female,9/5/1964,07046981020,mercy.okeke.cus00031@pulseconnect.com,3,1,7/24/2024,Active
CUS00032,Victoria,Chukwu,Female,12/12/1961,09155510861,victoria.chukwu.cus00032@pulseconnect.com,2,2,2/5/2023,Active
CUS00033,Sarah,Turner,Female,5/15/1997,07023171240,sarah.turner.cus00033@pulseconnect.com,6,5,5/3/2023,Active
CUS00034,Paul,Okafor,Male,11/22/1957,08066747282,paul.okafor.cus00034@pulseconnect.com,5,4,7/24/2021,Active
CUS00035,Peace,Turner,Female,11/19/1980,09099179827,peace.turner.cus00035@pulseconnect.com,6,3,2/15/2024,Active
CUS00036,Grace,Young,Female,10/18/1993,07025708283,grace.young.cus00036@pulseconnect.com,6,5,4/6/2022,Active
CUS00037,Joshua,Brown,Male,7/15/1986,08034624636,joshua.brown.cus00037@pulseconnect.com,5,2,8/17/2024,Active
CUS00038,Janet,Cooper,Female,4/21/1957,08033980317,janet.cooper.cus00038@pulseconnect.com,4,3,3/8/2021,Churned
CUS00039,Ruth,Ogunleye,Female,4/18/1991,09139589899,ruth.ogunleye.cus00039@pulseconnect.com,6,3,2/1/2021,Active
CUS00040,Henry,Oladipo,Male,3/18/1992,08093336786,henry.oladipo.cus00040@pulseconnect.com,3,2,4/11/2023,Active
CUS00041,Mary,Bello,Female,7/21/1972,09188953347,mary.bello.cus00041@pulseconnect.com,3,2,12/6/2021,Active
CUS00042,Grace,Usman,Female,7/9/1985,08171348371,grace.usman.cus00042@pulseconnect.com,4,5,11/20/2022,Active
CUS00043,Isaac,Cooper,Male,6/27/2004,09135497665,isaac.cooper.cus00043@pulseconnect.com,6,3,4/18/2021,Active
CUS00044,Jennifer,Johnson,Female,7/22/1998,08090093414,jennifer.johnson.cus00044@pulseconnect.com,3,1,11/20/2024,Active
CUS00045,Deborah,Nwachukwu,Female,7/7/1958,07094594409,deborah.nwachukwu.cus00045@pulseconnect.com,5,2,1/28/2024,Active
CUS00046,Richard,Ibrahim,Male,1/15/1963,09054555494,richard.ibrahim.cus00046@pulseconnect.com,2,3,10/7/2023,Active
CUS00047,Joseph,King,Male,3/1/1987,08113378662,joseph.king.cus00047@pulseconnect.com,4,4,8/11/2022,Active
CUS00048,Mark,Akinyemi,Male,6/12/1956,08086819958,mark.akinyemi.cus00048@pulseconnect.com,6,2,8/6/2021,Active
CUS00049,Emmanuel,Young,Male,2/6/1981,08078486481,emmanuel.young.cus00049@pulseconnect.com,4,4,10/27/2025,Churned
CUS00050,Luke,Ajayi,Male,1/17/1994,09195634885,luke.ajayi.cus00050@pulseconnect.com,1,5,12/16/2023,Active
CUS00051,Emmanuel,Evans,Male,12/27/1968,07028975426,emmanuel.evans.cus00051@pulseconnect.com,6,1,10/10/2025,Active
CUS00052,Henry,Okafor,Male,11/8/2002,07093222992,henry.okafor.cus00052@pulseconnect.com,2,2,3/3/2022,Active
CUS00053,Jennifer,Obi,Female,6/18/2003,07056727397,jennifer.obi.cus00053@pulseconnect.com,2,3,2/22/2024,Active
CUS00054,Isaac,Scott,Male,9/19/1977,09187863615,isaac.scott.cus00054@pulseconnect.com,4,5,10/17/2021,Active
CUS00055,Michael,Eze,Male,5/13/1966,08153064744,michael.eze.cus00055@pulseconnect.com,5,2,3/18/2023,Active
CUS00056,Charles,Hall,Male,1/9/1960,08011341060,charles.hall.cus00056@pulseconnect.com,4,3,8/10/2025,Active
CUS00057,Joseph,Hall,Male,2/1/1984,09136650227,joseph.hall.cus00057@pulseconnect.com,5,5,2/11/2021,Suspended
CUS00058,John,Abdullahi,Male,5/26/1968,09034960414,john.abdullahi.cus00058@pulseconnect.com,6,3,12/19/2024,Active
